date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Total
2016-01-31,171.65,128.40200000000002,172.5,1476.324,248.0,24.0,174.0,56.5,2451.376
2016-02-29,173.81,137.528,134.2,1224.862,239.0,20.0,245.0,58.0,2232.4
2016-03-31,156.64,165.589,148.4,1150.7,250.0,13.0,253.0,97.84,2235.169
2016-04-30,166.61,146.526,147.7,998.337,292.0,18.0,216.0,162.4,2147.573
2016-05-31,167.36,120.861,130.55,997.15,255.0,18.0,131.0,137.1,1957.021
2016-06-30,169.67,114.961,117.75,760.05,280.5,20.0,127.0,134.8,1724.731
2016-07-31,194.528333333,141.019,137.9,652.362,240.0,8.0,109.0,116.83,1599.639333333
2016-08-31,211.13,114.375,132.7,686.38333334,275.5,12.0,116.0,85.3,1633.38833334
2016-09-30,172.96,126.218,116.7,1118.699,307.0,18.0,121.0,69.3,2049.877
2016-10-31,186.76,142.056,160.15,1583.69166667,290.83333333,11.0,220.0,60.9,2655.391
2016-11-30,166.846666667,116.85,133.85,1062.686,234.16666667,27.0,150.0,51.2,1942.599333337
2016-12-31,169.32,135.056,122.816666667,1624.335,226.33333333,18.0,275.0,34.9,2605.760999997
2017-01-31,181.902083334,150.991249999,191.27083333299998,1439.36,443.749999984,34.166666666,196.406250002,61.750000001000004,2699.597083319
2017-02-28,159.99,125.339083334,122.875000001,670.87583333,178.791666657,11.166666667,140.33333333299998,38.099999999,1447.471583321
2017-03-31,162.85,111.055,107.35,612.5,165.0,9.0,109.0,100.1,1376.855
2017-04-30,155.61,101.215,100.5,540.2,132.0,9.0,180.875,122.4,1341.8
2017-05-31,143.66,118.125,98.95,547.9399999999999,148.0,23.0,128.0,161.81,1369.485
2017-06-30,122.33,103.006,99.6,496.1,163.0,8.0,163.0,151.9,1306.936
2017-07-31,150.295,116.206,75.2,479.35,219.0,15.0,115.0,81.1,1251.151
2017-08-31,170.15,112.47,84.39999999999999,549.3,239.0,12.0,75.0,60.1,1302.42
2017-09-30,138.33,118.711,88.15,863.75,223.0,23.0,139.0,66.9,1660.841
2017-10-31,137.64,88.737,100.4,1184.35,226.0,15.0,247.0,51.0,2050.127
2017-11-30,163.85,119.78,104.45,867.899,192.0,15.0,196.0,46.6,1705.579
2017-12-31,160.01,121.663,115.15,1007.1800000000001,226.0,6.0,204.0,47.1,1887.103
2018-01-31,132.28,109.446,101.15,1134.325,229.0,11.0,219.0,49.5,1985.701
2018-02-28,128.36,132.804,114.65,1255.374,268.0,12.0,224.25,39.06,2174.498
2018-03-31,146.16,111.764,122.3,999.123,381.0,42.0,269.0,85.5,2156.847
2018-04-30,170.02,107.723,84.6,803.287,289.0,14.0,229.0,197.1,1894.73
2018-05-31,160.52,103.522,89.4,644.648,259.0,13.0,167.0,213.04,1650.13
2018-06-30,141.18,114.226,86.8,584.343,248.0,18.0,101.0,120.8,1414.349
2018-07-31,150.18,132.549,87.2,679.35,283.0,19.0,90.0,122.2,1563.479
2018-08-31,140.0,114.719,88.25,733.838,253.0,20.0,159.0,103.1,1611.907
2018-09-30,153.52,114.99199999999999,86.5,1058.262,263.0,12.0,205.0,88.1,1981.374
2018-10-31,144.71,129.4,76.05,1129.275,287.0,25.0,327.0,76.9,2195.335
2018-11-30,172.29,105.487,102.15,995.15,252.2,22.0,311.0,48.4,2008.677
2018-12-31,147.71,113.024,84.75,1213.95,254.0,27.0,354.0,53.1,2247.534
2019-01-31,179.7,189.646,99.7,1660.612,295.2,23.0,386.0,41.3,2875.158
2019-02-28,133.73,142.155,110.2,1001.212,249.4,12.0,226.0,69.5,1944.1970000000001
2019-03-31,154.52,113.118,83.35,941.0500000000001,301.4,19.0,257.0,169.5,2038.9379999999999
2019-04-30,161.39,100.16499999999999,88.1,647.65,299.4,22.0,219.0,179.1,1716.805
2019-05-31,168.04,97.258,104.1,703.562,265.8,26.0,298.29166667,135.4,1798.4516666700001
2019-06-30,151.54,101.627,103.2,610.0,193.0,25.0,142.0,156.04,1482.407
2019-07-31,181.0,103.541,92.8,620.675,250.6,20.0,115.0,105.2,1488.816
2019-08-31,181.91,88.269,84.2,518.1,237.0,26.0,145.0,97.3,1377.779
2019-09-30,161.07,111.437,93.5,984.48,227.8,16.0,121.416666667,109.1,1824.803666667
